aX,aY,aZ,gX,gY,gZ
-0.409,-0.176,0.892,-2.075,2.808,-0.732
-0.401,-0.169,0.892,-2.075,2.502,-0.793
-0.539,-1.375,1.232,-77.332,-64.88,-106.262
-0.785,-1.438,1.369,-89.844,-68.054,-115.295
-0.956,-1.351,1.461,-91.248,-63.477,-107.849
-0.922,-1.657,1.389,-58.777,-52.979,-67.322
-0.679,-2.241,1.212,1.221,-42.358,-0.916
-0.38,-2.535,0.975,43.64,-41.138,67.017
-0.231,-2.236,0.914,57.983,-51.392,122.925
-0.269,-1.62,1.025,67.688,-65.491,163.391
-0.317,-1.146,1.184,93.384,-73.547,191.406
-0.35,-0.924,1.281,131.714,-72.754,208.252
-0.417,-0.973,1.34,169.8,-67.2,214.661
-0.465,-1.079,1.358,192.993,-58.716,214.05
-0.528,-1.041,1.377,196.838,-48.889,208.374
-0.565,-0.696,1.383,189.819,-37.537,200.073
-0.592,-0.314,1.363,187.134,-26.123,191.772
-0.605,-0.168,1.28,196.472,-14.648,180.847
-0.604,-0.116,1.214,206.909,-5.188,163.635
-0.645,0.036,1.192,208.069,2.075,140.503
-0.749,0.218,1.199,201.843,8.24,113.586
-0.81,0.38,1.198,191.65,14.526,85.144
-0.862,0.48,1.194,180.115,20.02,57.556
-0.894,0.464,1.15,166.809,24.109,34.607
-0.923,0.438,1.121,149.719,26.794,16.541
-0.979,0.484,1.107,131.531,28.137,3.418
-1.015,0.504,1.077,116.882,29.541,-2.197
-0.998,0.492,1.029,105.896,31.677,-1.831
-0.964,0.561,0.978,96.497,33.386,2.197
-0.947,0.818,0.965,90.637,33.691,9.705
-0.923,0.749,0.909,89.844,31.128,23.682
-0.872,0.606,0.847,80.566,26.733,38.086
-0.841,0.557,0.818,56.641,19.409,47.546
-0.836,0.657,0.803,23.804,10.986,52.246
-0.847,0.821,0.812,-6.042,3.113,53.101
-0.876,0.946,0.831,-26.062,-2.136,50.354
-0.892,0.982,0.849,-36.011,-4.028,43.701
-0.915,0.942,0.86,-39.978,-2.625,32.898
-0.918,0.83,0.849,-42.358,1.404,19.348
-0.891,0.698,0.808,-47.485,7.019,5.066
-0.852,0.603,0.75,-56.091,11.902,-8.911
-0.804,0.519,0.695,-65.735,14.771,-22.705
-0.781,0.446,0.651,-73.792,15.564,-34.912
-0.773,0.361,0.619,-79.59,15.32,-44.983
-0.755,0.295,0.59,-83.496,14.221,-52.917
