aX,aY,aZ,gX,gY,gZ
0.033,-0.214,0.947,0.061,-2.747,-6.531
0.036,-0.209,0.937,2.502,-3.54,-6.775
-0.398,-0.676,1.943,19.409,-314.941,-46.204
-0.744,-0.733,2.403,9.949,-348.572,-70.679
-0.726,-1.049,2.596,5.859,-370.85,-94.91
-0.421,-1.266,2.383,-6.592,-394.897,-110.535
-0.448,-1.047,2.082,-32.715,-420.959,-125.61
-1.366,-0.654,2.484,-43.884,-435.974,-127.441
-4,-0.89,4,-8.789,-403.137,-76.172
-4,-3.178,4,44.739,-204.773,22.888
-1.985,-3.07,3.882,-15.869,91.125,80.627
1.421,-1.169,2.566,-129.761,257.507,69.397
1.972,0.729,2.045,-155.884,265.808,32.166
0.619,1.21,2.567,-69.458,224.731,6.348
-0.708,-0.147,2.915,70.19,227.783,10.254
-1.155,-1.683,2.763,145.447,293.213,26.001
-0.951,-1.857,2.251,115.479,375.977,39.307
-0.823,-1.075,1.82,47.424,431.274,54.626
-0.935,-0.364,1.612,12.878,452.454,82.275
-1.324,-0.007,1.507,17.761,453.369,120.789
-1.702,-0.064,1.369,40.039,452.515,160.767
-2.017,-0.202,1.224,53.955,452.087,194.763
-2.292,-0.251,1.08,50.72,447.327,218.811
-2.583,-0.215,0.924,36.072,436.951,232.605
-2.761,-0.243,0.755,17.334,423.157,236.267
-2.856,-0.147,0.59,-8.179,406.677,225.159
-2.925,0.058,0.441,-32.837,388,200.745
-2.891,0.182,0.296,-47.18,368.958,170.227
-2.768,0.196,0.172,-51.941,348.572,140.93
-2.794,0.105,0.074,-51.88,325.012,118.408
-2.823,-0.029,-0.056,-51.697,300.781,103.394
-2.818,-0.104,-0.209,-54.077,276.611,93.323
-2.703,-0.057,-0.404,-56.946,251.587,87.158
-2.481,0.069,-0.581,-56.213,222.473,83.252
-2.273,0.169,-0.707,-48.645,186.707,79.773
-2.071,0.174,-0.796,-36.255,147.461,74.463
-1.803,0.119,-0.809,-24.597,106.995,63.477
-1.549,0.176,-0.725,-15.991,68.481,45.837
-1.285,0.284,-0.579,-5.066,35.522,26.489
-0.961,0.27,-0.408,10.559,10.437,11.353
-0.701,0.124,-0.212,26.123,-7.874,1.77
-0.517,-0.021,0.005,34.851,-19.958,-3.235
-0.38,-0.058,0.212,35.522,-25.024,-5.371
-0.248,-0.047,0.35,33.264,-23.132,-4.639
-0.175,-0.036,0.473,31.189,-16.357,-0.916
-0.146,-0.022,0.535,29.419,-6.104,5.859
-0.068,-0.057,0.527,25.146,8.118,12.329
0.046,-0.055,0.479,15.686,21.057,16.602
0.108,0.01,0.439,3.723,26.978,17.395
0.066,0.085,0.432,-4.944,26.245,16.907
-0.046,0.075,0.444,-7.385,21.973,17.09
-0.147,0.004,0.447,-7.263,16.235,17.883
-0.199,-0.015,0.455,-8.057,9.705,16.907
-0.215,0.021,0.483,-8.179,2.991,13.184
-0.184,0.031,0.524,-4.578,-3.723,6.836
