aX,aY,aZ,gX,gY,gZ
-0.511,-0.095,0.857,3.601,-0.61,-0.366
-0.51,-0.103,0.856,4.028,0.183,0
-0.508,-0.105,0.857,4.333,0.488,0.122
-0.593,-0.756,2.136,0.671,-341.248,-43.823
-0.686,-0.831,2.096,-20.203,-356.506,-55.603
-0.651,-1.183,2.081,-41.626,-364.136,-66.895
-0.293,-1.001,1.766,-73.914,-364.441,-76.477
0.192,-0.923,1.437,-107.544,-372.131,-83.374
0.383,-1.223,1.16,-126.038,-394.043,-87.158
-0.434,-1.073,1.605,-145.813,-409.851,-86.487
-2.791,-0.588,3.372,-162.048,-386.169,-56.824
-3.532,-1.003,4,-127.502,-282.654,12.207
-2.447,-1.411,4,-83.435,-87.402,76.965
-0.741,-1.289,3.367,-79.468,94.788,112.915
0.502,-0.634,2.575,-96.68,203.003,114.502
0.676,-0.118,2.209,-94.299,235.352,92.529
0.139,0.042,2.267,-63.721,240.356,60.059
-0.561,-0.176,2.465,-20.081,253.967,32.166
-1.15,-0.681,2.561,16.235,283.813,19.287
-1.51,-1.102,2.498,29.419,324.768,20.325
-1.684,-1.188,2.307,18.066,366.638,32.227
-1.747,-1.025,2.065,-1.953,401.733,51.208
-1.797,-0.819,1.859,-15.076,425.659,73.547
-1.927,-0.691,1.699,-17.151,437.378,95.398
-2.118,-0.564,1.596,-14.526,440.857,113.464
-2.342,-0.467,1.537,-8.667,440.552,125.916
-2.509,-0.435,1.502,-0.793,439.758,133.24
-2.697,-0.449,1.479,5.249,438.232,136.78
-3.012,-0.494,1.382,7.812,436.462,140.259
-3.533,-0.595,1.192,6.836,438.416,145.569
-3.999,-0.603,0.852,-0.488,444.946,156.738
-4,-0.636,0.374,-15.747,448.608,172.607
-4,-0.575,-0.117,-39.734,443.481,179.81
-4,-0.304,-0.575,-68.054,429.26,171.509
-4,0.145,-0.967,-89.111,402.527,154.358
-4,0.872,-1.308,-97.595,363.22,132.507
-3.473,1.429,-1.591,-76.782,316.528,107.422
-2.984,1.324,-1.764,-28.442,262.573,71.777
-2.744,0.716,-1.81,13.794,198.914,28.32
-2.666,0.156,-1.734,24.841,131.897,-12.878
-2.679,-0.008,-1.541,7.812,70.496,-44.373
-2.651,0.099,-1.316,-12.634,20.63,-61.523
-2.535,0.253,-1.114,-18.799,-16.296,-63.66
-2.266,0.241,-0.98,-10.254,-44.006,-55.359
-1.911,0.09,-0.894,1.099,-66.895,-42.664
-1.573,-0.001,-0.804,5.066,-89.294,-32.837
-1.301,0.039,-0.676,0.732,-111.389,-27.954
-1.124,0.177,-0.511,-4.517,-131.226,-26.55
-1.001,0.269,-0.346,-4.028,-146.057,-28.076
-0.895,0.263,-0.204,2.38,-155.457,-32.043
-0.8,0.188,-0.077,10.315,-160.095,-37.964
-0.747,0.121,0.049,15.442,-161.926,-44.373
-0.749,0.08,0.199,18.555,-161.377,-50.842
-0.784,0.019,0.351,21.667,-157.471,-56.213
-0.803,-0.078,0.474,25.024,-150.574,-58.777
-0.778,-0.194,0.544,27.039,-143.127,-58.533
-0.753,-0.265,0.583,25.757,-137.268,-56.213
-0.756,-0.296,0.597,22.827,-134.216,-52.551
-0.811,-0.262,0.616,20.569,-133.606,-49.011
-0.884,-0.172,0.645,21.729,-133.545,-46.509
-0.936,-0.049,0.684,28.748,-134.033,-45.532
-0.988,0.04,0.755,42.908,-135.62,-46.753
-1.047,-0.02,0.822,60.974,-139.282,-48.462
-1.076,-0.166,0.869,74.463,-144.592,-50.293
-1.094,-0.258,0.929,77.209,-150.879,-53.284
-1.119,-0.258,1.031,70.984,-157.043,-56.824
-1.175,-0.22,1.185,62.622,-162.476,-60.425
-1.252,-0.196,1.346,55.237,-165.894,-63.965
-1.332,-0.197,1.475,49.011,-164.917,-67.749
-1.32,-0.196,1.538,41.504,-157.837,-71.777
-1.221,-0.149,1.549,32.654,-147.034,-76.965
-1.109,-0.146,1.526,25.513,-137.512,-83.557
-0.975,-0.153,1.47,19.897,-131.897,-88.684
-0.911,-0.248,1.476,13.55,-129.761,-89.783
-0.817,-0.365,1.475,4.028,-128.662,-88.257
-0.729,-0.403,1.494,-8.24,-127.686,-84.717
-0.641,-0.371,1.529,-19.836,-125.305,-79.59
-0.582,-0.399,1.607,-25.818,-120.789,-72.998
-0.473,-0.398,1.659,-27.893,-113.342,-63.782
-0.414,-0.455,1.829,-27.1,-103.394,-53.223
-0.367,-0.595,1.969,-27.222,-91.37,-40.588
-0.242,-0.75,1.989,-32.471,-75.134,-28.381
-0.079,-0.731,1.938,-45.044,-57.495,-17.7
0.091,-0.565,1.836,-56.458,-42.175,-9.521
0.237,-0.387,1.723,-57.373,-29.663,-3.845
0.311,-0.302,1.64,-46.204,-19.653,0.122
0.344,-0.324,1.589,-28.137,-10.376,2.686
0.357,-0.342,1.588,-10.315,-0.427,2.747
0.318,-0.343,1.625,5.371,10.681,1.221
